data_dictionary_category;data_item;frequency;publication_time;unit_of_measure;created_by;last_updated_by;new_existing_renamed
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SW);Daily;21:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (SW);Daily;16:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WM);Daily;16:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WM);Daily;00:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WM);Daily;21:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WM);Daily;10:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WM);Daily;13:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WN);Daily;00:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WN);Daily;21:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WN);Daily;16:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WN);Daily;13:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WN);Daily;10:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WS);Daily;21:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WS);Daily;16:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WS);Daily;00:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WS);Daily;13:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage Quantity, LDZ, Forecast (WS);Daily;10:30;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Maximum Price, Bought;Daily;10:00;p/kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Maximum Price, Sold;Daily;10:00;p/kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Minimum Price, Bought;Daily;10:00;p/kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Minimum Price, Sold;Daily;10:00;p/kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Net Quantity;Daily;10:00;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Number of Trades Executed - Buys;Daily;10:00;N/A;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Number of Trades Executed - Sells;Daily;10:00;N/A;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Number of Trades Executed - Total;Daily;10:00;N/A;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Quantity Bought;Daily;10:00;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Quantity Sold;Daily;10:00;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Weighted Average Price, Bought;Daily;10:00;p/kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Shrinkage;Shrinkage, NTS, Weighted Average Price, Sold;Daily;10:00;p/kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Price;SMP Buy, Actual Day;Daily;12:00;p/kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Price;SMP Buy, hourly actual;ASAP;ASAP;p/kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Price;SMP Sell, Actual Day;Daily;12:00;p/kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Price;SMP Sell, hourly actual;ASAP;ASAP;p/kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Entry Capacity;St. Fergus Zone, Available Capacity;Daily;ASAP;mscm;MIPI;MIPI;Existing DI : Nord07 (Publication Time updated: EU2019 Part A)
Entry Capacity;St. Fergus Zone, ICF;Daily;ASAP;N/A;MIPI;MIPI;Existing DI : Nord07 (Publication Time updated: EU2019 Part A)
Supplies;Storage - Daily Flow;Daily;10:00;mscm;sivaprasad.jerripoth;sivaprasad.jerripoth;Existing Dis (Before EU2015)
Supplies;Storage - Delivery;Daily;10:00;mscm;sivaprasad.jerripoth;sivaprasad.jerripoth;Existing Dis (Before EU2015)
Storage;Storage Injection, Actual;ASAP;ASAP;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage Withdrawal, Actual;ASAP;ASAP;kWh;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Daily Aggregated Available Capacity, D+1;Daily;16:00;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Storage;Storage, Daily Aggregated Inflows, D+1;Daily;16:00;kWh/d;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Storage;Storage, Daily Aggregated Outflows, D+1;Daily;16:00;kWh/d;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Storage;Storage, Daily Aggregated Stock level, D+1;Daily;16:00;kWh;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Storage;Storage, Daily Available Deliverability, D+1;Daily;16:00;kWh/d;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Storage;Storage, Daily Available Injectability, D+1;Daily;16:00;kWh/d;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Storage;Storage, Long Range, Average flow (7 days);Daily;15:56;mscm;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Long Range, Days left at Ave Flow;Daily;15:56;Days;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Long Range, Days left at Max Flow;Daily;15:56;Days;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Long Range, Maximum potential flow;Daily;15:56;gWh;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Long Range, Safety Monitor Levels;Daily;15:56;mscm;Rajesh.Kukadia;Rajesh.Kukadia;Existing Dis (Before EU2015)
Storage;Storage, Long Range, Stock Levels;Daily;15:56;GWh;claire.l.leskevicius;claire.l.leskevicius;Existing Dis (Before EU2015)
Storage;Storage, Medium Range, Average flow (7 days);Daily;15:56;mscm;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Medium Range, Days left at Ave Flow;Daily;15:56;Days;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Medium Range, Days left at Max Flow;Daily;15:56;Days;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Medium Range, Maximum potential flow;Daily;15:56;gWh;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Medium Range, Safety Monitor Levels;Daily;15:56;mscm;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Medium Range, Stock Levels;Daily;15:56;GWh;claire.l.leskevicius;claire.l.leskevicius;Existing Dis (Before EU2015)
Storage;Storage, Short Range, Average flow (7 days);Daily;15:56;mscm;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Short Range, Days left at Ave Flow;Daily;15:56;mscm;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Short Range, Days left at Max Flow;Daily;15:56;Days;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Short Range, Maximum potential flow;Daily;15:56;gWh;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Short Range, Safety Monitor Levels;Daily;15:56;mscm;MIPI;MIPI;Existing Dis (Before EU2015)
Storage;Storage, Short Range, Stock Levels;Daily;15:56;GWh;claire.l.leskevicius;claire.l.leskevicius;Existing Dis (Before EU2015)
Notices;Supply Commentry;ASAP;ASAP;N/A;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Aldbrough , M+15;Daily;16:30;MJ/scm;Rajesh.Kukadia;Rajesh.Kukadia;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Aldbrough, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Aldbrough, D+2;Daily;10:00;MJ/scm;Rajesh.Kukadia;Rajesh.Kukadia;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Aldbrough, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Avonmouth , M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Avonmouth, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Avonmouth, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Avonmouth, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton - BBL, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton - BBL, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton - Perenco, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton - Perenco, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton - Shell, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton - Shell, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton - Tullow, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton - Tullow, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton Interconnector, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton Interconnector, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton Seal , D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton Seal , M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton-BBLInterconnector, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton-BBLInterconnector, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, BactonInterconnector, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, BactonInterconnector, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton-Perenco, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton-Perenco, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, BactonSeal, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, BactonSeal, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton-Shell, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton-Shell, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton-Tullow, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Bacton-Tullow, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Barrow , D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Barrow , M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Barrow, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Barrow, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Burton Point, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Burton Point, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, BurtonPoint, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, BurtonPoint, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Dragon, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Dragon, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Dynevor Arms, D+2;Daily;10:00;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, Dynevor Arms, M+15;Daily;16:30;MJ/scm;MIPI;MIPI;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, DynevorArms, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, DynevorArms, M+15;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
Supplies;System Entry Calorific Value, DynevorArmsBL, D+1;Daily;12:30;MJ/scm;MIPIETP;MIPIETP;Existing Dis (Before EU2015)
